week,game,favorite,underdog,spread,actual_margin,margin_vs_spread,underdog_covered,favorite_covered,fav_off_epa,fav_def_epa,dog_off_epa,dog_def_epa,matchup_epa_diff,net_epa_diff,fav_off_pass_epa,fav_def_pass_epa,dog_off_pass_epa,dog_def_pass_epa,matchup_pass_epa_diff,fav_off_rush_epa,fav_def_rush_epa,dog_off_rush_epa,dog_def_rush_epa,matchup_rush_epa_diff,matchup_rp_epa_diff,matchup_weighted_rp_epa_diff,matchup_fav_weighted_epa_diff,matchup_dog_weighted_epa_diff,fav_run_pct,fav_pass_pct,dog_run_pct,dog_pass_pct,avg_run_pct,avg_pass_pct
4,Ravens @ Chiefs,Chiefs,Ravens,2.5,17,14.5,False,True,0.17,-0.06,0.0,0.13,0.36000000000000004,0.36,0.22,-0.09,0.0,0.16,0.47,0.07,0.0,0.0,0.07,0.14,0.305,0.3160550000000001,0.32348,0.30863,0.444,0.556,0.489,0.511,0.4665,0.5335000000000001
4,Bears @ Raiders,Raiders,Bears,1.5,-1,-2.5,True,False,-0.18,0.04,0.02,0.0,-0.24,-0.24,-0.12,0.15,0.07,0.0,-0.33999999999999997,-0.26,-0.13,-0.05,0.0,-0.08000000000000002,-0.21,-0.22013999999999995,-0.2217,-0.21857999999999997,0.455,0.545,0.467,0.5329999999999999,0.461,0.5389999999999999
4,Packers @ Cowboys,Packers,Cowboys,7.0,0,-7.0,True,False,0.17,-0.02,0.14,0.15,0.2,0.1999999999999999,0.31,0.02,0.21,0.19,0.27,0.01,-0.08,0.01,0.1,0.18,0.225,0.22968000000000002,0.22608,0.23328000000000004,0.488,0.512,0.408,0.5920000000000001,0.44799999999999995,0.552
4,Jets @ Dolphins,Dolphins,Jets,2.5,6,3.5,False,True,-0.01,0.11,-0.05,0.09,0.020000000000000004,0.020000000000000018,-0.02,0.17,-0.04,0.16,0.010000000000000009,0.0,0.04,-0.05,0.02,0.030000000000000002,0.020000000000000004,0.018980000000000004,0.018300000000000004,0.019660000000000004,0.415,0.585,0.483,0.517,0.44899999999999995,0.5509999999999999
4,Bengals @ Broncos,Broncos,Bengals,7.0,25,18.0,False,True,0.07,-0.07,-0.05,0.17,0.36000000000000004,0.36,0.09,-0.08,-0.1,0.24,0.51,0.05,-0.06,0.05,0.07,0.13,0.32,0.36066000000000004,0.34431999999999996,0.377,0.436,0.564,0.35,0.65,0.393,0.607
5,49ers @ Rams,Rams,49ers,5.5,-3,-8.5,True,False,0.04,-0.1,0.0,0.03,0.17,0.17,0.18,-0.12,0.07,0.09,0.32,-0.16,-0.04,-0.11,-0.06,-0.07,0.125,0.15776,0.15659,0.15893000000000004,0.419,0.581,0.413,0.5870000000000001,0.416,0.5840000000000001
5,Vikings @ Browns,Vikings,Browns,3.5,4,0.5,False,True,-0.11,-0.04,-0.18,-0.07,0.04000000000000001,0.0399999999999999,-0.09,-0.08,-0.27,0.03,0.29000000000000004,-0.14,0.02,-0.02,-0.2,-0.34,-0.024999999999999994,0.03894499999999998,0.031069999999999987,0.04682,0.41100000000000003,0.589,0.386,0.614,0.3985,0.6014999999999999
5,Raiders @ Colts,Colts,Raiders,6.5,34,27.5,False,True,0.23,-0.03,-0.18,0.04,0.48,0.48,0.27,-0.04,-0.12,0.15,0.5800000000000001,0.16,-0.02,-0.26,-0.13,0.31000000000000005,0.44500000000000006,0.4560700000000001,0.4549900000000001,0.45715000000000006,0.46299999999999997,0.537,0.455,0.545,0.45899999999999996,0.541
5,Giants @ Saints,Saints,Giants,1.5,12,10.5,False,True,-0.14,0.0,-0.04,0.08,-0.02000000000000001,-0.020000000000000018,-0.17,0.09,-0.05,0.03,-0.18,-0.08,-0.11,-0.02,0.16,0.21000000000000002,0.015000000000000013,-0.0072299999999999726,-0.02165999999999997,0.007199999999999998,0.406,0.594,0.48,0.52,0.443,0.5569999999999999
5,Cowboys @ Jets,Cowboys,Jets,2.5,15,12.5,False,True,0.14,0.15,-0.05,0.09,0.13,0.13000000000000012,0.21,0.19,-0.04,0.16,0.22,0.01,0.1,-0.05,0.02,-0.020000000000000004,0.1,0.11308,0.12208000000000002,0.10408,0.408,0.5920000000000001,0.483,0.517,0.4455,0.5545
