week,game,favorite,underdog,spread,actual_margin,margin_vs_spread,underdog_covered,favorite_covered,fav_off_epa,fav_def_epa,dog_off_epa,dog_def_epa,matchup_epa_diff,net_epa_diff,fav_off_pass_epa,fav_def_pass_epa,dog_off_pass_epa,dog_def_pass_epa,matchup_pass_epa_diff,fav_off_rush_epa,fav_def_rush_epa,dog_off_rush_epa,dog_def_rush_epa,matchup_rush_epa_diff,matchup_rp_epa_diff,fav_weighted_rp_epa,dog_weighted_rp_epa,corrected_matchup_rp_epa_diff,fav_pass_epa_diff,fav_run_epa_diff,dog_pass_epa_diff,dog_run_epa_diff,fav_run_pct,fav_pass_pct,dog_run_pct,dog_pass_pct
3,Cardinals @ 49ers,49ers,Cardinals,1.5,1,-0.5,True,False,0.0,0.03,0.0,0.02,-0.009999999999999998,-0.009999999999999998,0.07,0.09,0.0,0.07,0.05000000000000002,-0.11,-0.06,0.0,-0.08,-0.13,-0.039999999999999994,-0.012389999999999998,0.027,-0.039389999999999994,0.0,-0.012389999999999998,0.052199999999999996,-0.025199999999999997,0.413,0.5870000000000001,0.42,0.58
3,Chiefs @ Giants,Chiefs,Giants,6.5,13,6.5,False,True,0.17,-0.06,-0.04,0.08,0.35,0.35,0.22,-0.09,-0.05,0.03,0.39,0.07,0.0,-0.02,0.16,0.25,0.32,0.06568000000000002,-0.0112,0.07688000000000002,0.10564000000000001,-0.03996,-0.0208,0.0096,0.444,0.556,0.48,0.52
3,Lions @ Ravens,Ravens,Lions,5.5,-8,-13.5,True,False,0.0,0.13,0.1,-0.1,-0.33,-0.33,0.0,0.16,0.23,-0.08,-0.47000000000000003,0.0,0.07,-0.03,-0.13,-0.17,-0.32,0.10445,0.015680000000000006,0.08876999999999999,0.04088,0.06357,-0.03472,0.05040000000000001,0.489,0.511,0.504,0.496
4,Seahawks @ Cardinals,Seahawks,Cardinals,1.5,3,1.5,False,True,0.0,-0.04,0.0,0.02,0.06,0.06,0.0,0.04,0.0,0.07,0.030000000000000006,0.0,-0.19,0.0,-0.08,0.11,0.07,0.006199999999999997,-0.0566,0.0628,-0.034440000000000005,0.04064,0.0232,-0.0798,0.508,0.49200000000000005,0.42,0.58
4,Vikings @ Steelers,Steelers,Vikings,2.5,-3,-5.5,True,False,0.05,0.07,-0.11,-0.04,0.049999999999999996,0.05,0.09,0.13,-0.09,-0.08,-0.030000000000000013,-0.01,-0.02,-0.14,0.02,0.17,0.07,0.08299999999999999,0.1789,-0.09590000000000001,0.09605,-0.013049999999999999,0.12958,0.04932,0.435,0.565,0.41100000000000003,0.589
4,Commanders @ Falcons,Commanders,Falcons,1.5,-7,-8.5,True,False,0.0,0.07,-0.06,-0.02,-0.03000000000000001,-0.03000000000000011,0.0,0.13,-0.07,-0.07,-0.13,0.0,-0.01,-0.05,0.03,0.09,-0.020000000000000004,0.022500000000000006,0.12687999999999997,-0.10437999999999996,0.036750000000000005,-0.014249999999999999,0.10859999999999997,0.01828,0.475,0.525,0.457,0.5429999999999999
4,Saints @ Bills,Bills,Saints,16.5,12,-4.5,True,False,0.16,-0.02,-0.14,0.0,0.32,0.32,0.17,-0.07,-0.17,0.09,0.5,0.13,0.04,-0.08,-0.11,0.060000000000000005,0.28,0.16336,0.10812,0.05524000000000001,0.03832000000000001,0.12503999999999998,0.0594,0.04872,0.521,0.479,0.406,0.594
4,Browns @ Lions,Lions,Browns,8.5,24,15.5,False,True,0.1,-0.1,-0.18,-0.07,0.31000000000000005,0.30999999999999994,0.23,-0.08,-0.27,0.03,0.6100000000000001,-0.03,-0.13,-0.02,-0.2,-0.08000000000000002,0.265,0.18488,0.07420000000000002,0.11067999999999997,0.0992,0.08568,0.11666000000000001,-0.042460000000000005,0.504,0.496,0.386,0.614
4,Panthers @ Patriots,Patriots,Panthers,5.5,29,23.5,False,True,0.09,-0.04,-0.05,0.06,0.24,0.24,0.26,0.0,-0.1,0.1,0.45999999999999996,-0.13,-0.11,0.01,0.0,-0.03,0.21499999999999997,0.014709999999999987,-0.00449999999999999,0.019209999999999977,0.07984,-0.06513000000000001,0.052500000000000005,-0.056999999999999995,0.501,0.499,0.475,0.525
4,Chargers @ Giants,Chargers,Giants,6.5,-3,-9.5,True,False,0.03,-0.01,-0.04,0.08,0.16,0.16,0.04,0.01,-0.05,0.03,0.11000000000000001,0.01,0.0,-0.02,0.16,0.19,0.15000000000000002,-0.05464,0.0408,-0.09544,0.00596,-0.0606,0.031200000000000002,0.0096,0.40399999999999997,0.596,0.48,0.52
4,Titans @ Texans,Texans,Titans,7.0,26,19.0,False,True,0.02,-0.13,-0.21,0.1,0.45999999999999996,0.45999999999999996,0.05,-0.21,-0.26,0.18,0.7,-0.03,-0.01,-0.11,0.01,0.1,0.39999999999999997,-0.09030999999999999,0.06870000000000002,-0.15901,-0.07266999999999998,-0.01764,0.03130000000000002,0.0374,0.441,0.5589999999999999,0.374,0.626
4,Colts @ Rams,Rams,Colts,3.5,7,3.5,False,True,0.04,-0.1,0.23,-0.03,-0.12,-0.12,0.18,-0.12,0.27,-0.04,-0.010000000000000037,-0.16,-0.04,0.16,-0.02,-0.3,-0.15500000000000003,0.06915999999999999,-0.30203,0.37119,0.12782,-0.058660000000000004,-0.20943,-0.09259999999999999,0.419,0.581,0.46299999999999997,0.537
4,Jaguars @ 49ers,49ers,Jaguars,3.0,-5,-8.0,True,False,0.0,0.03,-0.01,-0.04,-0.06,-0.06,0.07,0.09,-0.04,-0.02,6.938893903907228e-18,-0.11,-0.06,0.05,-0.06,-0.15999999999999998,-0.07999999999999999,0.03218000000000001,0.03184,0.00034000000000000696,0.05283000000000001,-0.02065,0.07683,-0.044989999999999995,0.413,0.5870000000000001,0.409,0.591
4,Ravens @ Chiefs,Chiefs,Ravens,2.5,17,14.5,False,True,0.17,-0.06,0.0,0.13,0.36000000000000004,0.36,0.22,-0.09,0.0,0.16,0.47,0.07,0.0,0.0,0.07,0.14,0.305,0.03336,-0.045989999999999996,0.07935,0.03336,0.0,-0.045989999999999996,0.0,0.444,0.556,0.489,0.511
4,Bears @ Raiders,Raiders,Bears,1.5,-1,-2.5,True,False,-0.18,0.04,0.02,0.0,-0.24,-0.24,-0.12,0.15,0.07,0.0,-0.33999999999999997,-0.26,-0.13,-0.05,0.0,-0.08000000000000002,-0.21,-0.1837,0.005279999999999979,-0.18897999999999998,-0.0654,-0.1183,0.042639999999999983,-0.037360000000000004,0.455,0.545,0.467,0.5329999999999999
4,Packers @ Cowboys,Packers,Cowboys,7.0,0,-7.0,True,False,0.17,-0.02,0.14,0.15,0.2,0.1999999999999999,0.31,0.02,0.21,0.19,0.27,0.01,-0.08,0.01,0.1,0.18,0.225,0.017519999999999994,-0.1492,0.16671999999999998,0.061439999999999995,-0.04392,-0.11248000000000001,-0.036719999999999996,0.488,0.512,0.408,0.5920000000000001
4,Jets @ Dolphins,Dolphins,Jets,2.5,6,3.5,False,True,-0.01,0.11,-0.05,0.09,0.020000000000000004,0.020000000000000018,-0.02,0.17,-0.04,0.16,0.010000000000000009,0.0,0.04,-0.05,0.02,0.030000000000000002,0.020000000000000004,-0.1136,0.15204,-0.26564,-0.1053,-0.0083,0.10857000000000001,0.04347,0.415,0.585,0.483,0.517
4,Bengals @ Broncos,Broncos,Bengals,7.0,25,18.0,False,True,0.07,-0.07,-0.05,0.17,0.36000000000000004,0.36,0.09,-0.08,-0.1,0.24,0.51,0.05,-0.06,0.05,0.07,0.13,0.32,-0.09331999999999999,-0.025499999999999995,-0.06781999999999999,-0.08459999999999998,-0.008720000000000002,0.012999999999999998,-0.03849999999999999,0.436,0.564,0.35,0.65
